feedback_id,kit_name,part_area,inspection_phase,joint_type,part_size,material_type,moving_part,gate_position,estimated_load,assembly_step,feedback_text,user_level,created_at
FB-001,Star Frame Alpha,shoulder_joint,assembled_state,hinge,medium,ABS,true,hidden,high,18,肩の関節がかなり固く動かしたときに白化しそうで怖かった。,beginner,2026-04-01
FB-002,Sky Armor Type-S,antenna,runner_state,none,small,PS,false,tip,low,3,アンテナ部分が細くランナーから切り出すときに折れそうだった。,beginner,2026-04-02
FB-003,Nova Soldier Mk-2,waist_joint,assembled_state,ball_joint,medium,ABS,true,hidden,high,22,腰の接続がゆるくポーズを取らせるとすぐに傾いた。,intermediate,2026-04-03
FB-004,Heavy Guard Unit,instruction_step,runner_state,none,medium,PS,false,hidden,low,9,説明書の工程が少し分かりにくく左右のパーツを間違えそうになった。,beginner,2026-04-04
FB-005,Star Frame Alpha,gate_area,runner_state,none,medium,PS,false,front,low,5,ゲート跡が正面に残りやすく初心者には処理が難しいと感じた。,beginner,2026-04-05
FB-006,Sky Armor Type-S,weapon_grip,assembled_state,peg_joint,small,ABS,true,side,medium,27,武器グリップの保持が弱く構えたポーズで手から外れやすい。,intermediate,2026-04-06
FB-007,Nova Soldier Mk-2,leg_joint,assembled_state,ball_joint,large,ABS,true,hidden,high,24,脚の関節はしっかりしていて自立も安定していたので満足した。,advanced,2026-04-07
FB-008,Heavy Guard Unit,backpack,assembled_state,peg_joint,large,PS,true,back,high,31,バックパックが重く背中に付けると後ろへ倒れやすかった。,intermediate,2026-04-08
FB-009,Star Frame Alpha,hand_parts,runner_state,peg_joint,small,PS,true,side,low,14,手首パーツが小さく交換中に紛失しそうで扱いにくい。,beginner,2026-04-09
FB-010,Sky Armor Type-S,elbow_joint,assembled_state,c_clip,medium,ABS,true,hidden,medium,19,肘の可動部がきつく曲げるたびに負荷がかかっている感じがした。,intermediate,2026-04-10
FB-011,Nova Soldier Mk-2,instruction_step,runner_state,none,medium,PS,false,hidden,low,11,説明書の図が見づらく取り付ける向きを何度も確認した。,beginner,2026-04-11
FB-012,Heavy Guard Unit,gate_area,runner_state,none,large,PS,false,front,low,6,濃い色の外装にゲート跡が白く残りやすく仕上げに時間がかかった。,intermediate,2026-04-12
FB-013,Star Frame Alpha,shoulder_joint,assembled_state,hinge,medium,ABS,true,hidden,high,18,肩アーマーの取り付けが固く押し込むと割れそうで不安だった。,beginner,2026-04-13
FB-014,Sky Armor Type-S,waist_joint,assembled_state,ball_joint,medium,ABS,true,hidden,high,23,腰ジョイントの保持力が弱く上半身をひねるとすぐ戻ってしまう。,advanced,2026-04-14
FB-015,Nova Soldier Mk-2,antenna,runner_state,none,small,PS,false,tip,low,4,頭部の細いアンテナは見た目は良いが切り出し時の破損が心配だった。,intermediate,2026-04-15
FB-016,Heavy Guard Unit,leg_joint,assembled_state,ball_joint,large,ABS,true,hidden,high,25,足首の接続がゆるく大型装備を持たせると自立が不安定になった。,intermediate,2026-04-16
FB-017,Star Frame Alpha,instruction_step,runner_state,none,small,PS,false,hidden,low,8,似た形の部品が同じ工程に出てきて番号を見間違えそうになった。,beginner,2026-04-17
FB-018,Sky Armor Type-S,backpack,assembled_state,peg_joint,large,ABS,true,back,high,30,背中の接続ピンが固く抜き差ししにくいため塗装後に傷が付きそうだった。,advanced,2026-04-18
FB-019,Nova Soldier Mk-2,weapon_grip,assembled_state,peg_joint,small,ABS,true,side,medium,28,持ち手と武器のサイズが合っていて保持力が高く遊びやすかった。,beginner,2026-04-19
FB-020,Heavy Guard Unit,hand_parts,runner_state,none,small,PS,false,tip,low,13,指の先端が細くニッパーで切るときに欠けそうで緊張した。,beginner,2026-04-20
FB-021,Star Frame Alpha,elbow_joint,assembled_state,c_clip,medium,ABS,true,hidden,medium,20,肘関節の噛み合わせが分かりにくく一度逆向きにはめそうになった。,intermediate,2026-04-21
FB-022,Sky Armor Type-S,gate_area,runner_state,none,medium,PS,false,front,low,7,ゲート位置が曲面の目立つ場所にあり処理後も跡が残った。,advanced,2026-04-22
FB-023,Nova Soldier Mk-2,backpack,assembled_state,peg_joint,large,PS,true,back,high,29,バックパックの左右ユニットが似ていて説明書に拡大図がほしいと感じた。,beginner,2026-04-23
FB-024,Heavy Guard Unit,shoulder_joint,assembled_state,hinge,medium,ABS,true,hidden,high,18,肩の引き出し機構は可動範囲が広いが保持が少しゆるくポーズが決まりにくい。,advanced,2026-04-24
FB-025,Star Frame Alpha,antenna,runner_state,none,small,PS,false,tip,low,4,アンテナ先端のゲートが近く少し力を入れるだけで根元まで曲がりそうだった。,beginner,2026-04-25
FB-026,Sky Armor Type-S,shoulder_joint,assembled_state,hinge,medium,ABS,true,hidden,high,18,肩軸が硬めで何度か動かすと受け側にヒビが入りそうに感じた。,intermediate,2026-04-26
FB-027,Nova Soldier Mk-2,waist_joint,assembled_state,ball_joint,medium,ABS,true,hidden,high,23,腰のボール接続が浅くバックパックを付けると前後にぐらついた。,advanced,2026-04-27
FB-028,Heavy Guard Unit,gate_area,runner_state,none,large,PS,false,front,low,6,胸部外装の正面ゲートが太くニッパー跡が残りやすかった。,beginner,2026-04-28
FB-029,Star Frame Alpha,hand_parts,assembled_state,peg_joint,small,soft_plastic,true,side,medium,26,手首の差し替えは楽しいが小さくて軸を押し込みすぎると外れにくい。,intermediate,2026-04-29
FB-030,Sky Armor Type-S,instruction_step,runner_state,none,small,PS,false,hidden,low,12,小さい左右パーツの説明が同じ角度で描かれていて向きを迷った。,beginner,2026-04-30
FB-031,Nova Soldier Mk-2,leg_joint,assembled_state,hinge,large,ABS,true,hidden,high,25,膝のヒンジは見た目が良いが固く曲げ始めに白化しそうだった。,advanced,2026-05-01
FB-032,Heavy Guard Unit,weapon_grip,assembled_state,peg_joint,small,ABS,true,side,medium,28,大型武器のグリップが浅く長時間構えると手からずれてしまう。,intermediate,2026-05-02
FB-033,Star Frame Alpha,backpack,assembled_state,peg_joint,large,PS,true,back,high,30,背面ユニットを付けた状態で腰を回すと重さで姿勢が崩れやすい。,intermediate,2026-05-03
FB-034,Sky Armor Type-S,elbow_joint,assembled_state,c_clip,medium,ABS,true,hidden,medium,20,肘のCクリップがかなり渋く外すときに白化しそうで怖い。,beginner,2026-05-04
FB-035,Nova Soldier Mk-2,gate_area,runner_state,none,small,PS,false,front,low,5,小型外装のゲートが外側にあり処理すると形が少し欠けそうだった。,beginner,2026-05-05
FB-036,Heavy Guard Unit,instruction_step,runner_state,none,medium,PS,false,hidden,low,10,説明書の武器組み立て工程で似た部品の番号が近く間違えそうになった。,intermediate,2026-05-06
